,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
224,224,city scrape,Peace and nature  in S. Conrado / RIO,2020-12-14,"Rio de Janeiro, Brazil",,,,f,,1.0,3.0,f,"Rio de Janeiro, Brazil",São Conrado,Entire loft,Entire home/apt,4,1.0,1.0,3.0,$386.00,3,365,2,3,365,365,t,0,0,1,91,6,2,0,2017-01-06,2024-09-17,5.0,5.0,4.67,5.0,5.0,5.0,5.0,f,1,1,0,0,0.06
2962,2962,city scrape,Casa Ilha da Gigóia,2021-05-19,,,,,,,2.0,4.0,f,"Rio de Janeiro, Brazil",Barra da Tijuca,Tiny home,Entire home/apt,3,1.0,0.0,4.0,$300.00,2,1125,2,2,1125,1125,t,23,53,74,349,73,5,0,2016-02-19,2024-11-18,4.77,4.74,4.86,4.92,4.97,4.79,4.77,t,1,1,0,0,0.68
3589,3589,city scrape,Cobertura com terraço,2024-10-09,,,,,f,,1.0,1.0,t,"Rio de Janeiro, Brazil",Tijuca,Entire rental unit,Entire home/apt,4,2.5,1.0,2.0,$450.00,3,30,3,3,30,30,t,23,53,76,166,13,0,0,2017-09-24,2020-03-27,5.0,5.0,5.0,5.0,5.0,4.85,4.69,f,1,1,0,0,0.15
4320,4320,city scrape,Colonial house sorrounded by nature,2021-07-25,"Rio de Janeiro, Brazil",,,,f,,2.0,2.0,t,"Rio de Janeiro, Brazil",Alto da Boa Vista,Entire home,Entire home/apt,14,4.0,6.0,8.0,"$2,000.00",2,60,2,5,1125,1125,t,8,23,44,304,194,29,2,2019-01-03,2024-12-23,4.71,4.71,4.64,4.86,4.71,4.75,4.62,t,1,1,0,0,2.66
4564,4564,city scrape,GC | Loft Azulejo | Ipanema | Casa Cururu,2022-02-21,,within an hour,100%,100%,,Copacabana,5.0,6.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"$1,143.00",2,1125,2,5,1125,1125,t,13,38,57,147,238,27,3,2016-08-26,2024-12-18,4.87,4.92,4.73,4.96,4.96,4.94,4.8,t,3,3,0,0,2.34
4610,4610,city scrape,Studio 124,2021-01-04,"Rio de Janeiro, Brazil",within an hour,100%,96%,t,Joá,3.0,3.0,t,"Joá, Rio de Janeiro, Brazil",Joá,Entire loft,Entire home/apt,4,1.0,1.0,2.0,"$1,474.00",2,30,2,4,15,1125,t,4,17,28,87,79,16,3,2022-02-19,2024-12-21,5.0,5.0,4.99,5.0,5.0,4.97,4.97,f,3,3,0,0,2.27
5138,5138,city scrape,Room in Rio de Janeiro. Rock in Rio Beach & Poo,2020-09-26,,,,,f,,1.0,2.0,f,"Rio de Janeiro, Brazil",Taquara,Private room in villa,Private room,2,1.5,1.0,1.0,$140.00,1,1125,1,1,1125,1125,t,21,51,81,159,41,3,0,2017-03-04,2024-07-19,4.95,4.85,4.93,4.93,4.98,4.76,4.9,f,1,0,1,0,0.43
5214,5214,city scrape,Apartamento no coração de Copacabana próx ao metrô,2024-08-29,"Rio de Janeiro, Brazil",,,,f,,1.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,2.0,$615.00,2,60,2,5,60,60,t,7,31,56,146,12,11,1,2017-02-28,2024-12-02,5.0,5.0,5.0,5.0,5.0,4.75,4.92,f,1,1,0,0,0.13
5923,5923,city scrape,Apartamento em Laranjeiras,2021-03-18,,,,,f,,1.0,1.0,t,"Laranjeiras, Rio de Janeiro, Brazil",Laranjeiras,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,$385.00,2,1125,2,2,1125,1125,t,23,53,76,256,38,7,0,2019-03-08,2024-11-17,4.53,4.66,4.32,4.97,4.92,4.76,4.45,f,1,1,0,0,0.54
6149,6149,city scrape,Villa with beautiful view and pool in Joa - Joa005,2022-07-10,"Rio de Janeiro, Brazil",within an hour,100%,55%,t,Frade,65.0,114.0,t,,Joá,Entire villa,Entire home/apt,10,6.0,5.0,5.0,"$23,600.00",2,90,2,7,90,90,t,28,58,88,272,0,0,0,,,,,,,,,,f,34,34,0,0,
