,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16,16,city scrape,Casanova Residence great for shoots and events,2010-09-13,"State of Rio de Janeiro, Brazil",within a day,64%,67%,f,Joá,5.0,15.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire home,Entire home/apt,14,7.0,6.0,10.0,"$6,000.00",1,730,1,1,730,730,t,30,60,80,355,7,0,0,2015-11-27,2017-01-08,4.57,4.86,4.86,4.86,4.57,4.71,4.57,f,5,3,2,0,0.06
57,57,city scrape,Amazing ocean view !,2011-04-15,"Palma, Spain",within a day,100%,100%,f,Barra da Tijuca,2.0,3.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"$1,001.00",4,500,4,4,500,500,t,0,0,0,209,65,2,0,2013-04-02,2024-01-29,4.82,4.95,4.63,4.95,4.89,4.88,4.75,f,2,2,0,0,0.45
64,64,city scrape,Delicious new and wonderfull view 2 bedroomns,2011-12-21,"Rio de Janeiro, Brazil",within a day,100%,12%,f,Laranjeiras,1.0,5.0,t,"Rio de Janeiro, Brazil",Laranjeiras,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,$614.00,2,1125,2,2,1125,1125,t,21,51,76,351,15,2,0,2012-02-21,2024-01-21,4.92,4.87,4.93,4.8,4.8,4.87,4.73,f,1,1,0,0,0.1
66,66,city scrape,Cozy apartment located in a safe area of Rio,2011-12-22,"Santiago, Chile",within a day,100%,85%,t,Laranjeiras,1.0,1.0,t,"Rio de Janeiro, Brazil",Laranjeiras,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,$674.00,7,1125,7,7,1125,1125,t,0,2,13,254,29,2,0,2012-01-13,2024-09-19,4.76,4.9,4.69,4.93,4.97,4.97,4.55,f,1,1,0,0,0.18
67,67,city scrape,Nice place in Rio with ocean view.,2011-12-19,"Rio de Janeiro, Brazil",within a day,100%,,f,Barra da Tijuca,1.0,1.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"$1,286.00",4,60,4,4,60,60,t,29,59,89,364,17,0,0,2012-07-11,2023-11-24,4.82,4.94,4.88,4.94,4.88,4.65,4.76,f,1,1,0,0,0.11
76,76,city scrape,"Copacabana Studio -  5* Reviews, 5 mins to Beach",2011-05-25,"Barcelona, Spain",within a day,50%,33%,f,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$878.00,4,31,4,4,31,31,t,4,34,61,281,96,2,1,2011-06-10,2024-12-05,4.98,4.92,4.98,4.98,4.99,4.94,4.8,f,1,1,0,0,0.58
81,81,city scrape,Rio-2 Bedroom-Minutes from it all,2012-01-10,"Massachusetts, United States",within a day,50%,0%,f,Santa Teresa,1.0,1.0,f,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,$472.00,5,30,5,5,30,30,t,23,53,75,350,3,0,0,2012-02-22,2014-06-30,3.67,2.5,2.0,3.0,4.5,3.0,2.5,f,1,1,0,0,0.02
107,107,city scrape,NEW WORLD LODGINGS #Caledonia Room,2012-01-23,"Rio de Janeiro, Brazil",within a day,50%,0%,f,Botafogo,3.0,4.0,f,,Botafogo,Private room in home,Private room,3,1.0,1.0,3.0,$877.00,3,90,3,3,90,90,t,30,60,90,365,1,0,0,2012-02-21,2012-02-21,5.0,4.0,5.0,5.0,5.0,4.0,5.0,f,3,0,3,0,0.01
108,108,city scrape,NEW WORLD LODGINGS #Tirrik Room -RJ,2012-01-23,"Rio de Janeiro, Brazil",within a day,50%,0%,f,Botafogo,3.0,4.0,f,,Botafogo,Private room in home,Private room,2,1.0,1.0,2.0,$877.00,3,90,3,3,90,90,t,30,60,90,365,3,0,0,2012-10-15,2015-01-09,4.67,5.0,4.67,5.0,4.33,4.67,4.67,f,3,0,3,0,0.02
113,113,previous scrape,NEW WORLD INDEPENDENT LODGINGS - RJ,2012-01-23,"Rio de Janeiro, Brazil",within a day,50%,0%,f,Botafogo,3.0,4.0,f,,Botafogo,Private room in home,Private room,8,,,,,3,90,3,3,90,90,t,22,29,52,327,5,0,0,2012-02-23,2015-11-09,5.0,4.8,5.0,5.0,5.0,4.4,5.0,f,3,0,3,0,0.03
116,116,city scrape,2BR Cosy Apt w/Pool in Santa Teresa,2012-01-30,Brazil,within a day,86%,100%,f,Santa Teresa,2.0,5.0,t,,Santa Teresa,Entire rental unit,Entire home/apt,16,5.0,6.0,16.0,"$5,874.00",3,30,3,3,30,30,t,30,60,90,365,13,1,0,2012-06-25,2024-11-19,3.75,3.69,4.0,4.38,4.46,4.0,3.85,t,1,1,0,0,0.09
